"capture_index","matrix_round","valid_for_matrix","port","placement","t_seconds","seq","heart_rate","spo2","confidence","flags_hex","flag_hr_valid","flag_spo2_valid","flag_artifact","stable_segment","clean_hr","clean_spo2","target_false_lock_98_114","bad_valid_spo2_lt90","raw_line"
"1","1","True","COM6","RIGHT_THUMB_NORMAL","0.6","0","0","0","0","0x00","0","0","0","0","0","0","0","0","FRAME T=0.6s HR=0 SpO2=0 conf=0 flags=0x00 seq=0"
"1","1","True","COM6","RIGHT_THUMB_NORMAL","6.6","1","0","0","0","0x00","0","0","0","0","0","0","0","0","FRAME T=6.6s HR=0 SpO2=0 conf=0 flags=0x00 seq=1"
"1","1","True","COM6","RIGHT_THUMB_NORMAL","10.6","2","0","0","0","0x00","0","0","0","0","0","0","0","0","FRAME T=10.6s HR=0 SpO2=0 conf=0 flags=0x00 seq=2"
"1","1","True","COM6","RIGHT_THUMB_NORMAL","15.7","3","0","0","70","0x00","0","0","0","0","0","0","0","0","FRAME T=15.7s HR=0 SpO2=0 conf=70 flags=0x00 seq=3"
"1","1","True","COM6","RIGHT_THUMB_NORMAL","20.8","4","0","0","60","0x00","0","0","0","0","0","0","0","0","FRAME T=20.8s HR=0 SpO2=0 conf=60 flags=0x00 seq=4"
"1","1","True","COM6","RIGHT_THUMB_NORMAL","25.8","5","68","99","70","0x03","1","1","0","0","0","0","0","0","FRAME T=25.8s HR=68 SpO2=99 conf=70 flags=0x03 seq=5"
"1","1","True","COM6","RIGHT_THUMB_NORMAL","30.9","6","68","0","40","0x05","1","0","1","0","0","0","0","0","FRAME T=30.9s HR=68 SpO2=0 conf=40 flags=0x05 seq=6"
"1","1","True","COM6","RIGHT_THUMB_NORMAL","36","7","68","0","40","0x05","1","0","1","0","0","0","0","0","FRAME T=36.0s HR=68 SpO2=0 conf=40 flags=0x05 seq=7"
"1","1","True","COM6","RIGHT_THUMB_NORMAL","41.1","8","68","0","40","0x05","1","0","1","0","0","0","0","0","FRAME T=41.1s HR=68 SpO2=0 conf=40 flags=0x05 seq=8"
"1","1","True","COM6","RIGHT_THUMB_NORMAL","46.1","9","68","0","40","0x05","1","0","1","1","0","0","0","0","FRAME T=46.1s HR=68 SpO2=0 conf=40 flags=0x05 seq=9"
