"capture_index","matrix_round","valid_for_matrix","port","placement","t_seconds","rate_hz","dc_ir","dc_red","ac_ir","ac_red","band_ratio","quality","flags_hex","raw_line"
"1","1","True","COM6","RIGHT_THUMB_NORMAL","0.6","0","0","0","0","0","0","0","0x00","DIAG T=0.6s I (556) signal_diag: rate=0.0 dc_ir=0 dc_red=0 ac_ir=0 ac_red=0 band=0.000 quality=0.00 flags=0x00"
"1","1","True","COM6","RIGHT_THUMB_NORMAL","5.6","100.4","0","0","0","0","0","0","0x00","DIAG T=5.6s I (5586) signal_diag: rate=100.4 dc_ir=0 dc_red=0 ac_ir=0 ac_red=0 band=0.000 quality=0.00 flags=0x00"
"1","1","True","COM6","RIGHT_THUMB_NORMAL","10.6","100.4","0","0","0","0","0","0","0x00","DIAG T=10.6s I (10606) signal_diag: rate=100.4 dc_ir=0 dc_red=0 ac_ir=0 ac_red=0 band=0.000 quality=0.00 flags=0x00"
"1","1","True","COM6","RIGHT_THUMB_NORMAL","15.7","100.3","73276","69030","292","129","0.569","0.7","0x00","DIAG T=15.7s I (15676) signal_diag: rate=100.3 dc_ir=73276 dc_red=69030 ac_ir=292 ac_red=129 band=0.569 quality=0.70 flags=0x00"
"1","1","True","COM6","RIGHT_THUMB_NORMAL","20.8","100.3","73602","69194","269","131","0.75","0.6","0x00","DIAG T=20.8s I (20746) signal_diag: rate=100.3 dc_ir=73602 dc_red=69194 ac_ir=269 ac_red=131 band=0.750 quality=0.60 flags=0x00"
"1","1","True","COM6","RIGHT_THUMB_NORMAL","25.8","100.3","73572","69195","337","145","0.714","0.7","0x03","DIAG T=25.8s I (25816) signal_diag: rate=100.3 dc_ir=73572 dc_red=69195 ac_ir=337 ac_red=145 band=0.714 quality=0.70 flags=0x03"
"1","1","True","COM6","RIGHT_THUMB_NORMAL","30.9","100.2","73207","69070","369","137","0.794","0.4","0x05","DIAG T=30.9s I (30886) signal_diag: rate=100.2 dc_ir=73207 dc_red=69070 ac_ir=369 ac_red=137 band=0.794 quality=0.40 flags=0x05"
"1","1","True","COM6","RIGHT_THUMB_NORMAL","36","100.3","72719","68882","443","202","0.895","0.4","0x05","DIAG T=36.0s I (35956) signal_diag: rate=100.3 dc_ir=72719 dc_red=68882 ac_ir=443 ac_red=202 band=0.895 quality=0.40 flags=0x05"
"1","1","True","COM6","RIGHT_THUMB_NORMAL","41","100.3","72168","68619","410","188","0.893","0.4","0x05","DIAG T=41.0s I (41026) signal_diag: rate=100.3 dc_ir=72168 dc_red=68619 ac_ir=410 ac_red=188 band=0.893 quality=0.40 flags=0x05"
"1","1","True","COM6","RIGHT_THUMB_NORMAL","46.1","100.4","72143","68587","372","203","0.873","0.4","0x05","DIAG T=46.1s I (46096) signal_diag: rate=100.4 dc_ir=72143 dc_red=68587 ac_ir=372 ac_red=203 band=0.873 quality=0.40 flags=0x05"
"1","1","True","COM6","RIGHT_THUMB_NORMAL","51.2","100.4","72409","68706","295","183","0.9","0.7","0x03","DIAG T=51.2s I (51166) signal_diag: rate=100.4 dc_ir=72409 dc_red=68706 ac_ir=295 ac_red=183 band=0.900 quality=0.70 flags=0x03"
"1","1","True","COM6","RIGHT_THUMB_NORMAL","56.2","100.3","72368","68729","333","148","0.747","0.4","0x05","DIAG T=56.2s I (56236) signal_diag: rate=100.3 dc_ir=72368 dc_red=68729 ac_ir=333 ac_red=148 band=0.747 quality=0.40 flags=0x05"
"1","1","True","COM6","RIGHT_THUMB_NORMAL","61.3","100.3","72885","68988","712","306","0.906","0.7","0x03","DIAG T=61.3s I (61316) signal_diag: rate=100.3 dc_ir=72885 dc_red=68988 ac_ir=712 ac_red=306 band=0.906 quality=0.70 flags=0x03"
"1","1","True","COM6","RIGHT_THUMB_NORMAL","66.4","100.2","73540","69205","356","140","0.738","0.4","0x05","DIAG T=66.4s I (66386) signal_diag: rate=100.2 dc_ir=73540 dc_red=69205 ac_ir=356 ac_red=140 band=0.738 quality=0.40 flags=0x05"
"1","1","True","COM6","RIGHT_THUMB_NORMAL","71.5","100.3","73503","69170","335","152","0.74","0.4","0x05","DIAG T=71.5s I (71456) signal_diag: rate=100.3 dc_ir=73503 dc_red=69170 ac_ir=335 ac_red=152 band=0.740 quality=0.40 flags=0x05"
"1","1","True","COM6","RIGHT_THUMB_NORMAL","76.5","100.3","73442","69194","314","144","0.788","0.85","0x03","DIAG T=76.5s I (76526) signal_diag: rate=100.3 dc_ir=73442 dc_red=69194 ac_ir=314 ac_red=144 band=0.788 quality=0.85 flags=0x03"
"1","1","True","COM6","RIGHT_THUMB_NORMAL","81.6","100.3","73292","69121","345","153","0.795","0.7","0x03","DIAG T=81.6s I (81596) signal_diag: rate=100.3 dc_ir=73292 dc_red=69121 ac_ir=345 ac_red=153 band=0.795 quality=0.70 flags=0x03"
"1","1","True","COM6","RIGHT_THUMB_NORMAL","86.7","100.3","72956","68945","388","181","0.836","0.7","0x03","DIAG T=86.7s I (86666) signal_diag: rate=100.3 dc_ir=72956 dc_red=68945 ac_ir=388 ac_red=181 band=0.836 quality=0.70 flags=0x03"
"1","1","True","COM6","RIGHT_THUMB_NORMAL","91.8","100.3","72576","68761","396","174","0.852","0.7","0x03","DIAG T=91.8s I (91746) signal_diag: rate=100.3 dc_ir=72576 dc_red=68761 ac_ir=396 ac_red=174 band=0.852 quality=0.70 flags=0x03"
"1","1","True","COM6","RIGHT_THUMB_NORMAL","96.8","100.3","72799","68843","610","242","0.868","0.85","0x03","DIAG T=96.8s I (96816) signal_diag: rate=100.3 dc_ir=72799 dc_red=68843 ac_ir=610 ac_red=242 band=0.868 quality=0.85 flags=0x03"
"1","1","True","COM6","RIGHT_THUMB_NORMAL","101.9","100.2","73650","69153","590","213","0.91","0.85","0x01","DIAG T=101.9s I (101886) signal_diag: rate=100.2 dc_ir=73650 dc_red=69153 ac_ir=590 ac_red=213 band=0.910 quality=0.85 flags=0x01"
